10155580409780079_10155580944065079,2018-08-31T12:07:37+0000,Looks like the Beastie Boys album cover.
10155580409780079_10155581380050079,2018-08-31T16:03:40+0000,Nobody has any of their own creativity anymore!!!!. Stolen from beastie boys!!!!!! Go back to 8mile!!
10155580409780079_10155581264225079,2018-08-31T14:59:41+0000,This album is so great 🔥🔥🔥🔥🔥🔥🔥
10155580409780079_10155581082510079,2018-08-31T13:30:34+0000,"That's some original album art, how did he ever think of it...so clever"
10155580409780079_10155580452585079,2018-08-31T04:30:30+0000,Havemt listened yet but so keem for the joyner colab
10155580409780079_10155583427320079,2018-09-01T17:47:43+0000,Damn freaken love this album cover while trump is fucking everything up Eminem is bringing us good ass music
10155580409780079_10155581350475079,2018-08-31T15:52:47+0000,Em got us all had no idea he was dropping this
10155580409780079_10155580737295079,2018-08-31T09:31:58+0000,Jack Thomas put down mums spaghetti
10155580409780079_10155582030660079,2018-08-31T22:19:51+0000,God returned and he brought fire and fury!
10155580409780079_10155583426860079,2018-09-01T17:47:23+0000,Not mad though he got inspiration for the album cover the music is so good as well on this album.
10155580409780079_10155583425820079,2018-09-01T17:46:28+0000,Great Great album love seeing that your progressing and finding new sounds as an artist.
10155580409780079_10155580663415079,2018-08-31T08:06:17+0000,Andy and here's the tail of the F-86 Sabre...
10155580409780079_10155581886040079,2018-08-31T20:44:10+0000,Eminem went hard on this right here
10155580409780079_10155580909220079,2018-08-31T11:47:10+0000,Could have been more #original than that.
10155580409780079_10155581637230079,2018-08-31T18:29:45+0000,Best album I have heard this year Damn!! 🔥
10155580409780079_10155580563670079,2018-08-31T06:14:21+0000,Once again dope album i already see some hate bars are fire going over the mumble rappers fans heads as it should dum fucks
10155580409780079_10155580561145079,2018-08-31T06:12:00+0000,Adrian Tuck Eve Hiles it’s on Spotify and Apple ITunes
10155580409780079_10155580590040079,2018-08-31T06:47:54+0000,Aaron O Callaghan eminems new album gwanisaid
10155580409780079_10155580966735079,2018-08-31T12:24:19+0000,Martyn Rose perfect to listen to on the beach lol
10155580409780079_10155581329150079,2018-08-31T15:38:03+0000,Ashley Doherty out of the blue! Heard it yet?
10155580409780079_10155580466815079,2018-08-31T04:43:01+0000,Looks like Beastie Boys album cover
10155580409780079_10155580950940079,2018-08-31T12:13:00+0000,"Abhi, this is gonna be fun"
10155580409780079_10155583519190079,2018-09-01T18:44:32+0000,"In this tracks we feel like you did take off the beard hh
Cause we as stans we can feel the difference  of spits and the voice  beetwen revival and this album
We touched thatThere's a breath in your D.N.A of rap his rap as legend that did amaze us
Really thank you
Its full of waw"
10155580409780079_10155581067245079,2018-08-31T13:21:46+0000,Hang it up guy is traash now
10155580409780079_10155580456240079,2018-08-31T04:33:05+0000,Nice Beastie Boys reference.
10155580409780079_10155580622525079,2018-08-31T07:27:43+0000,Billy Joseph Beastie Boys homage
10155580409780079_10155580516125079,2018-08-31T05:25:59+0000,"2 out of 10 
Horrible beats
Meh hooks
Dope verses"
10155580409780079_10155580667990079,2018-08-31T08:12:08+0000,beatsy beatsy boys gettin' live on the SPOT
10155580409780079_10155580464445079,2018-08-31T04:41:05+0000,Licenced to steal..
10155580409780079_10155580706135079,2018-08-31T08:57:58+0000,When ticku5 is 'suckit' backwards😂
10155580409780079_10155580478860079,2018-08-31T04:53:12+0000,5uckit
10155580409780079_10155580547275079,2018-08-31T05:54:52+0000,Ian Ye washed up?
10155580409780079_10155582381240079,2018-09-01T02:33:30+0000,He's baaack!!!! Gina
10155580409780079_10155580480495079,2018-08-31T04:53:56+0000,No sleep till 8 mile
10155580409780079_10155580655230079,2018-08-31T07:58:25+0000,beastie boys
10155580409780079_10155580453675079,2018-08-31T04:31:26+0000,John Johansson han har  släppt ett nytt album från ingenstans 😃
10155580409780079_10155581028560079,2018-08-31T12:56:45+0000,Vince Brass :D je sais pas si tetais au courant !!!
10155580409780079_10155580652030079,2018-08-31T07:53:00+0000,Vanessa WybranietzAUS DEM NICHTS!!!! OOOOOOOOHHHHHAAAAAAAAAAA
10155580409780079_10155580750245079,2018-08-31T09:48:12+0000,Emil Löfstrand Stig Helin ser ni att Eminem promotar Ticus 👌👌👌
10155580409780079_10155581116585079,2018-08-31T13:50:51+0000,Amir Jayousi malk mqrethash bl3ks
10155580409780079_10155580508830079,2018-08-31T05:19:35+0000,Zia Karen wait... what?!
10155580409780079_10155583147145079,2018-09-01T14:48:20+0000,He knew better than to diss Tekashi69 😂
10155580409780079_10155582327760079,2018-09-01T01:52:42+0000,
10155580409780079_10155580610850079,2018-08-31T07:13:43+0000,Thijs Klaassen dropt ff nieuw album😱
10155580409780079_10155582662805079,2018-09-01T07:34:54+0000,Reminds me of beastie boys cover
10155580409780079_10155580717745079,2018-08-31T09:10:28+0000,albums 🔥
10155580409780079_10155580666355079,2018-08-31T08:10:06+0000,What movie is this?
10155580409780079_10155583041885079,2018-09-01T13:29:33+0000,
10155580409780079_10155580941215079,2018-08-31T12:05:13+0000,F86 Saber?
10155580409780079_10155581047100079,2018-08-31T13:07:55+0000,Fixed
10155580409780079_10155580988670079,2018-08-31T12:37:41+0000,Not cool.
10155580409780079_10155580620695079,2018-08-31T07:26:17+0000,Kevin PaKevin 😍 Geil
10155580409780079_10155580921040079,2018-08-31T11:54:18+0000,NORMAL 🤘🏽
10155580409780079_10155581161215079,2018-08-31T14:15:21+0000,Ayyyyeee ma boy M is killing it!!!!!
10155580409780079_10155580828315079,2018-08-31T10:38:32+0000,Finally you got pissed off again!
10155580409780079_10155580471190079,2018-08-31T04:46:44+0000,What's this??🤔🤔🤔
10155580409780079_10155580564665079,2018-08-31T06:15:29+0000,Eminem ✈💣
